1996, B385,  Phys.Lett., Fosco,  Tunneling between fermionic vacua and the overlap formalism
1996, B382,  Phys.Lett., Duff & Lu & Pope,  The Black Branes of M-theory
1996, A11,  Int.J.Mod.Phys., Pawelczyk,  Immersions and folds in string theories of gauge fields
1996, D54,  Phys.Rev., Volkov,  Computation of the winding number diffusion rate due to the cosmological  sphaleron
1997, B486,  Nucl.Phys., Dijkgraaf & Verlinde & Verlinde,  BPS Quantization of the Five-Brane
1996, A11,  Mod.Phys.Lett., Lu & Pope & Xu,  Liouville and Toda Solitons in M-theory
1997, A12,  Int.J.Mod.Phys., Abdalla & Mohayaee & Zadra,  Screening in Two-dimensional QCD
1997, B487,  Nucl.Phys., Vaz & Witten,  Quantum Naked Singularities in 2d Dilaton Gravity
1996, B381,  Phys.Lett., Hashimoto & Klebanov,  Decay of Excited D-branes
1997, A12,  Mod.Phys.Lett., Nojiri,  Exact Four Dimensional Exploding Universe Solution in String Theory
1997, A12,  Int.J.Mod.Phys., Ambjorn & Watabiki,  Non-critical string field theory for 2d quantum gravity coupled to  (p,q)--conformal fields
1996, D54,  Phys.Rev., Aitchison & Fosco & Mazzitelli,  Effective Theory for Parity Conserving $QED_3$
1996, B474,  Nucl.Phys., Sen,  Duality and Orbifolds
1997, A12,  Int.J.Mod.Phys., Kechkin & Yurova,  Sp(4,R)/GL(2,R) Matrix Structure of Geodesic Solutions for  Einstein--Maxwell--Dilaton--Axion Theory
1996, D54,  Phys.Rev., Nakayama & Suzuki,  Loop Equations for + and - Loops in c = 1/2 Non-Critical String Theory
1996, B381,  Phys.Lett., Deriglazov & p\. & Latex,  Covariant Supplementation Scheme for Infinitely Reducible First Class  Constraints
1996, B387,  Phys.Lett., Atance & Cortes,  Effective Field Theory of pure Gravity and the Renormalization Group
1996, B476,  Nucl.Phys., Antoniadis & Gava & Narain & Taylor,  Topological Amplitudes in Heterotic Superstring Theory
1996, A29,  J.Phys., Grabowski & Mathieu,  The Structure of Conserved Charges in Open Spin Chains
1996, A11,  Mod.Phys.Lett., Yamada,  Heaviside transform of the effective potential in the Gross-Neveu model
1997, A12,  Mod.Phys.Lett., Odaka & Satoh,  The Hamiltonian in an Aharonov-Bohm gauge field and its self-adjoint  extensions
1997, D55,  Phys.Rev., Brustein & Gasperini & Veneziano,  Peak and end point of the relic graviton background in string cosmology
1998, A13,  Int.J.Mod.Phys., Atzmon,  Invariant Kinematics on a One-Dimensional Lattice in Noncommutative  Geometry
1997, A30,  J.Phys., Fainberg & Pak & Shikakhwa,  The Path Integral Quantization And The Construction Of The S-matrix In  The Abelian And Non-Abelian Chern-Simons Theories
1996, B475,  Nucl.Phys., Klebanov & Tseytlin,  Entropy of Near-Extremal Black p-branes
1996, B476,  Nucl.Phys., Green & Gutperle,  Light-cone supersymmetry and D-branes
1997, C73,  Z.Phys., Zhou & Miao & Liang & Mueller-Kirsten & Zhang,  Quantisation of 2D-gravity with Weyl and area-preserving diffeomorphism  invariances
1996, B481,  Nucl.Phys., Lukas & Niemeyer & Yamaguchi,  Post Inflationary Behaviour of String Moduli
1996, B474,  Nucl.Phys., Ferrara & Minasian & Sagnotti,  Low-Energy Analysis of $M$ and $F$ Theories on Calabi-Yau Threefolds
1997, A56,  Phys.Rev., Leclair,  QED for a Fibrillar Medium of Two-Level Atoms
1996, B383,  Phys.Lett., Brzezinski,  Separation of Variables and Vacuum Structure of N=2 SUSY QCD
1996, B476,  Nucl.Phys., Aharony,  String theory dualities from M theory
1996, B478,  Nucl.Phys., Semikhatov,  The Non-Critical N=2 String is an sl(2|1) Theory
1997, B404,  Phys.Lett., Aldabe,  A Supermembrane Description of String-String Duality
1996, A11,  Mod. Phys. Lett., Gurappa & Kumar & Panigrahi,  New Exactly and Conditionally Exactly Solvable N-Body Problems in One  Dimension
1996, D54,  Phys.Rev., Sriramkumar & Padmanabhan,  Does a non-zero tunnelling probability imply particle production in time  independent classical electromagnetic backgrounds?
1997, B486,  Nucl.Phys., Lavrov & Moshin,  Physical unitarity in the Lagrangian Sp(2)-symmetric formalism
1997, B483,  Nucl.Phys., Bonini & Marchesini & Simionato,  Beta function and infrared renormalons in the exact Wilson  renormalization group in Yang-Mills theory
1996, D54,  Phys.Rev., Mann & Solodukhin,  Conical geometry and quantum entropy of a charged Kerr black hole
1996, B382,  Phys.Lett., Green & Hull & Townsend,  D-brane Wess--Zumino actions, T-duality and the cosmological constant
1996, B385,  Phys.Lett., Berkovits,  Super-Poincare Invariant Koba-Nielsen Formulas for the Superstring
1996, A223,  Phys.Lett., Dey & Kumar,  Stationary Solitons of the Fifth Order KdV-type Equations and their  Stabilization
1997, A12,  Mod.Phys.Lett., Reuter,  Renormalization of the Topological Charge in Yang-Mills Theory
1997, B497,  Nucl.Phys., Liao & Strickland,  Dimensional Crossover and Effective Exponents
1996, B389,  Phys.Lett., Lu & Mukherji & Rahmfeld,  Loop-corrected Entropy of Near-extremal Dilatonic $p$-branes
1996, B477,  Nucl.Phys., Gimon & Johnson,  K3 Orientifolds
1996, B382,  Phys.Lett., Haagensen,  Duality Transformations Away From Conformal Points
1996, B27,  Acta Phys.Polon., Sladkowski,  Exotic smoothness and particle physics
1997, D56,  Phys.Rev., Liu & Vachaspati,  SU(5) Monopoles and the Dual Standard Model
1996, D54,  Phys.Rev., Bars,  Supersymmetry, p-brane duality and hidden space and time dimensions
1996, B475,  Nucl.Phys., Blumenhagen & Wisskirchen,  Exploring the Moduli Space of (0,2) Strings
1996, B383,  Phys.Lett., Ketov,  One-loop finiteness of the four-dimensional Donaldson-Nair-Schiff  non-linear sigma-model
1996, B387,  Phys.Lett., Sitenko,  Self-Adjointness of the Dirac Hamiltonian and Fermion Number  Fractionization in the Background of a Singular Magnetic Vortex
1996, A217,  Phys.Lett., Andrianov & Cannata & Dedonder,  Local realizations of $q$-Oscillators in Quantum Mechanics
1996, B383,  Phys.Lett., Pickering & West,  The One Loop Effective Super-Potential and Non-Holomorphicity
1996, D54,  Phys.Rev., Maeda & Sakamoto,  Strong Coupling Quantum Gravity and Physics beyond the Planck Scale
1996, D54,  Phys.Rev., Keski-Vakkuri & Kraus,  Tunneling in a Time Dependent Setting
1996, B480,  Nucl.Phys., Roland & Sato,  Multiloop World-Line Green Functions from String Theory
1996, A11,  Mod.Phys.Lett., Buchbinder & Petrov,  On quantum model of supergravity compensator
1996, B388,  Phys.Lett., Lifschytz,  Comparing D-branes to Black-branes
1996, B476,  Nucl.Phys., Marotta & Sciarrino,  From Vertex Operators to Calogero-Sutherland Models
1996, B386,  Phys.Lett., Balog & Niedermaier & Hauer,  Perturbative versus Non-perturbative QFT -- Lessons from the O(3) NLS  Model
1996, B27,  Acta Phys.Polon., Janik,  The Odderon and Invariants of Elliptic Curves
1996, D54,  Phys.Rev., Gitman & Odintsov & Shil'nov,  Chiral symmetry breaking in d=3 NJL model in external gravitational and  magnetic fields
1996, B383,  Phys.Lett., Kumar & Ray,  Compactification of $M$-Theory to Two Dimensions
1996, B477,  Nucl.Phys., Bonora & Krivonos & Sorin,  Toward the construction of N=2 supersymmetric integrable hierarchies
1996, B475,  Nucl.Phys., Klebanov & Tseytlin,  Intersecting M-branes as Four-Dimensional Black Holes
1997, A12,  Int.J.Mod.Phys., Dayi,  Consistent Interactions in terms of the Generalized Fields Method
1997, D55,  Phys.Rev., Behrndt & Bergshoeff & Janssen,  Intersecting D-Branes in ten and six dimensions
1996, D54,  Phys.Rev., Kechkin & Yurova,  Kramer--Neugebauer Transformation for Einstein--Maxwell--Dilaton--Axion  Theory
1996, B476,  Nucl.Phys., Gibbons & Rasheed,  Dyson Pairs and Zero-Mass Black Holes
1996, B477,  Nucl.Phys., Dabholkar & Park,  Strings on Orientifolds
1996, B478,  Nucl.Phys., Gauntlett & Kastor & Traschen,  Overlapping Branes in M-Theory
1998, D57,  Phys.Rev., Harikumar & Sivakumar,  Duality and Massive Gauge Invariant Theories
1996, B478,  Nucl.Phys., Balasubramanian & Larsen,  On D-Branes and Black Holes in Four Dimensions
1996, A11,  Mod.Phys.Lett., Tsohantjis & Kalloniatis & Jarvis,  Chord diagrams and BPHZ subtractions
1996, D54,  Phys.Rev., Kallosh & Rajaraman,  Brane-anti-brane Democracy
1996, D54,  Phys.Rev., Bakas & Sfetsos,  Universal aspects of string propagation on curved backgrounds
1997, B501,  Nucl.Phys., Quevedo & Trugenberger,  Phases of Antisymmetric Tensor Field Theories
1996, A11,  Mod.Phys.Lett., Nersessian & Ter-Antonyan & Tsulaia,  A note on quantum Bohlin transformation
1997, B400,  Phys.Lett., Lassig & Joshi,  Magnetic Charge in a Nonassociative Field Theory
1996, B468,  Nucl.Phys., Xue & Ferraz,  Supersymmetry And Electron-hole Excitation in Semiconductor At Finite  Temperature
1996, L111,  Class.Quant.Grav., Jacobson,  1+1 Sector of 3+1 Gravity
1996, A220,  Phys.Lett., Obukhov & Vlachynsky & Esser & Tresguerres & Hehl,  An exact solution of the metric-affine gauge theory with dilation,  shear, and spin charges
1996, B481,  Nucl.Phys., Kim & Maeda & Sakai,  Monopole-Bubble in Early Universe
1996, B383,  Phys.Lett., Rubakov & Shvedov,  A Negative Mode About Euclidean Wormhole
1997, A251,  Class.Quant.Grav., Ne'eman & Hehl,  Test Matter in a Spacetime with Nonmetricity
1996, D54,  Phys.Rev., Chan & Creighton & Mann,  Conserved masses in GHS Einstein and string black holes
1996, D54,  Phys.Rev., Keski-Vakkuri & Mathur,  Quantum Gravity and Turning Points in the Semiclassical Approximation
1996, B476,  Nucl.Phys., Gattringer,  Lattice Regularization of the Chiral Schwinger Model
1996, B466,  Nucl.Phys., Pietig & Wegner,  Phase Transition in Lattice Surface Systems with Gonihedric Action
1996, B386,  Phys.Lett., Heuvel,  One-loop effective action for SU(2) gauge theory on S^3
1997, B484,  Nucl.Phys., de Bakker & Smit,  Gravitational binding in 4D dynamical triangulation
1996, B479,  Nucl.Phys., Scharnhorst,  The exact equivalence of the two-flavour strong coupling lattice  Schwinger model with Wilson fermions to a vertex model
1996, B388,  Phys.Lett., Faraggi & Masip,  Leptophobic Z' from Superstring Derived Models
1996, D54,  Phys.Rev., Kastening,  Four-Loop Vacuum Energy Beta Function in O(N) Symmetric Scalar Theory
1996, D53,  Phys.Rev., Samuel,  Bimodal Coherence in Dense Self-Interacting Neutrino Gases
1996, D54,  Phys.Rev., Hawes & Williams & Roberts,  Renormalization and Chiral Symmetry Breaking in Quenched QED in  Arbitrary Covariant Gauge
1997, D55,  Phys.Rev., Samuel,  On the $0^{++}$ Glueball Mass
1997, B11,  Int. J. Mod. Phys., Schilling & Warnaar,  A Higher-level Bailey Lemma
1997, A12,  Int.J.Mod.Phys., Penttinen,  Small-angle scattering on a system of magnetic and electric charges
1998, B530,  Nucl.Phys., Long & Shore,  The Schrodinger Wave Functional and Vacuum States in Curved Spacetime
1996, B386,  Phys.Lett., Aref'eva & Zubarev,  Parquet Approximation in Large $N$ Matrix Theories
1997, D55,  Phys.Rev., Viswanathan & Parthasarathy,  String Theory In Curved Space-Time
1996, A11,  Mod.Phys.Lett., Filippov,  Exact Solutions of 1+1 Dimensional Dilaton Gravity Coupled to Matter
1997, B483,  Nucl.Phys., Erdmenger & Osborn,  Conserved Currents and the Energy Momentum Tensor in Conformally  Invariant Theories for General Dimensions
1996, B477,  Nucl.Phys., Lambert,  Heterotic p-branes from Massive Sigma Models
1996, B479,  Nucl.Phys., Chekhov & Kristjansen,  Hermitian Matrix Model with Plaquette Interaction
1996, B477,  Nucl.Phys., Maldacena,  Statistical Entropy of Near Extremal Five-branes
1997, B391,  Phys.Lett., Muto,  On thermodynamics of black p-branes
1997, B496,  Nucl.Phys., Fucito & Martellini & Zeni,  The BF Formalism for QCD and Quark Confinement
1996, G22,  J.Phys., Stefano & Pietro,  Quaternionic Electroweak Theory
1996, B388,  Phys.Lett., Ishikawa & Matsuo & Sugawara & Sugiyama,  BPS mass spectrum from D-brane action
1996, D54,  Phys.Rev., Dalvit & Mazzitelli,  Exact CTP Renormalization Group Equation for the Coarse Grained  Effective Action
1996, D54,  Phys.Rev., Elias & McKeon & Miransky & Shovkovy,  The Gross-Neveu Model and the Supersymmetric and Non-Supersymmetric  Nambu-Jona-Lasinio Model in a Magnetic Field
1996, B476,  Nucl.Phys., Bachas & Fabre,  Threshold effects in open-string theory
1998, D57,  Phys.Rev., Reuter,  Nonperturbative Evolution Equation for Quantum Gravity
1996, B480,  Nucl.Phys., Kachru & Seiberg & Silverstein,  SUSY Gauge Dynamics and Singularities of 4d N=1 String Vacua
1998, D58,  Phys.Rev., Pawlowski,  Exact Flow Equations and the U(1)-Problem
1997, B506,  Nucl.Phys., Reuter & Wetterich,  Quantum Liouville Field Theory as Solution of a Flow Equation
1996, A29,  J.Phys., Meissner & Doerfel,  Ground state and low excitations of an integrable chain with alternating  spins
1996, A29,  J.Phys., Doerfel & Meissner,  Ground State Structure and Low Temperature Behaviour of an Integrable  Chain with Alternating Spins
1996, D54,  Phys.Rev., Bakas,  Solitons of axion-dilaton gravity
1997, N2,  Phys.Atom.Nucl., Antonov,  A new approach to perturbative theory in the nonperturbative QCD vacuum
1996, A11,  Int.J.Mod.Phys., Antonov,  New equations for vacuum correlators in gauge theories
1997, A12,  Int.J.Mod.Phys., Ellis & Mavromatos & Nanopoulos,  D Branes from Liouville Strings
1997, D55,  Phys.Rev., Greiner & Muller,  Classical Fields Near Thermal Equilibrium
1997, B483,  Nucl.Phys., Berkooz & Leigh,  A D=4 N=1 Orbifold of Type I Strings
1996, B475,  Nucl.Phys., Barbon & Vazquez-Mozo,  Complex World-Sheets from N=2 Strings
1996, B477,  Nucl.Phys., Cvetic & Youm,  Near-BPS-Saturated Rotating Electrically Charged Black Holes as String  States
1996, B477,  Nucl.Phys., Becker & Becker,  M-Theory on Eight-Manifolds
1997, B397,  Phys.Lett., Llatas,  Electrically Charged Black-holes for the Heterotic String Compactified  on a $(10-D)$-Torus
1996, B478,  Nucl.Phys., Bergshoeff & Kallosh & Ortin,  Stationary Axion/Dilaton Solutions and Supersymmetry
1996, B388,  Phys.Lett., Kim & Koh,  Square Root Singularity in Boundary Reflection Matrix
1997, B489,  Nucl.Phys., Maassarani & Serban,  Non-unitary Conformal Field Theory and Logarithmic Operators for  Disordered Systems
1996, B383,  Phys.Lett., Delfino & Simonetti,  Correlation Functions in the Two-dimensional Ising Model in a Magnetic  Field at $T=T_c$
1997, D55,  Phys.Rev., Edelstein & Nunez,  Supersymmetric Electroweak Cosmic Strings
1996, A29,  J.Phys., de Azcarraga & Perelomov & Bueno,  The Schouten-Nijenhuis bracket, cohomology and generalized Poisson  structures
1996, B383,  Phys.Lett., Dorey & Fraser & Hollowood & Kneipp,  S-duality in N=4 supersymmetric gauge theories
1996, B383,  Phys.Lett., Mohammedi,  A Novel Symmetry in Sigma Models
1996, B482,  Nucl.Phys., Das & Roy,  On M-Theory and the Symmetries of Type II String Effective Actions
1997, B390,  Phys.Lett., Stephany,  Topological Field Theories and Duality
1996, B480,  Nucl.Phys., Zwiebach,  New Moduli Spaces from String Background Independence Consistency  Conditions
1996, B111,  Nuovo Cim., Grigore,  On a Order Reduction Theorem in the Lagrangian Formalism
1996, B388,  Phys.Lett., Khviengia & Khviengia & Lu & Pope,  Intersecting M-branes and bound states
1996, A11,  Mod.Phys.Lett., Khoudeir,  Non-Abelian Antisymmetric-Vector Coupling from Self-Interaction
1996, B481,  Nucl.Phys., Lu & Pope & Stelle,  Vertical versus Diagonal Dimensional Reduction for p-branes
1996, B481,  Nucl.Phys., Duff & Rahmfeld,  Bound States of Black Holes and Other $P$-Branes
1996, A11,  Mod.Phys.Lett., Antonov & Ebert & Simonov,  Curvature expansion for the background-induced gluodynamics string
1996, B381,  Phys.Lett., Kostelecky & Potting,  Expectation Values, Lorentz Invariance, and CPT in the Open Bosonic  String
1996, D54,  Phys.Rev., Volkov & Straumann & Lavrelashvili & Heusler & Brodbeck,  Cosmological Analogues of the Bartnik--McKinnon Solutions
1996, B477,  Nucl.Phys., Tseytlin,  Extremal black hole entropy from conformal string sigma model
1996, B383,  Phys.Lett., Blau & Jermyn & Thompson,  Solving Topological Field Theories on Mapping Tori
1997, B485,  Nucl.Phys., Yung,  Instanton-induced Effective Lagrangian in the Seiberg-Witten Model
1996, B479,  Nucl.Phys., Mansfield & Neves,  Boundary conformal field theories on random surfaces and the  non-critical open string
1997, B505,  Nucl.Phys., Caneschi & Lysiansky,  Chiral Quantization of the WZW $SU(n)$ Model
1996, C54,  Phys.Rev., Keister & Polyzou,  Causality in Dense Matter
1996, B480,  Nucl.Phys., Bilal & Ferrari,  Curves of Marginal Stability and Weak and Strong-Coupling BPS Spectra in  $N=2$ Supersymmetric QCD
1996, A11,  Mod.Phys.Lett., de Boer & Feher,  An explicit construction of Wakimoto realizations of current algebras
1997, B489,  Nucl.Phys., Kausch & Takacs & Watts & London & Budapest),  On the relation between Phi(1,2) and Phi(1,5) perturbed minimal models
1997, D55,  Phys.Rev., Alexeyev & Pomazanov,  Black hole solutions with dilatonic hair in higher curvature gravity
1996, B479,  Nucl.Phys., Csaki & Randall & Skiba,  More Dynamical Supersymmetry Breaking
1996, D54,  Phys.Rev., Kleihaus & Kunz & Physics & Oldenburg & Germany),  Sequences of Einstein-Yang-Mills-Dilaton Black Holes
1997, B392,  Phys.Lett., Halyo & Rajaraman & Susskind,  Braneless Black Holes
1996, B480,  Nucl.Phys., Poppitz & Shadmi & Trivedi,  Duality and Exact Results in Product Group Theories
1997, B391,  Phys.Lett., Kamata & Koikawa,  2+1 dimensional charged black hole with (anti-)self dual Maxwell fields
1996, D54,  Phys.Rev., Cornwall,  The Baryon Wilson Loop Area Law in QCD
1996, B385,  Phys.Lett., Giveon & Porrati,  Aspects of Space-Time Dualities
1997, B391,  Phys.Lett., Chou,  Models of Dynamical Supersymmetry Breaking from a SU(2k+3) Model
1997, D55,  Phys.Rev., Chen & Lee & Zhu,  Differential Regularization of Topologically Massive Yang-Mills Theory  and Chern-Simons Theory
1997, B483,  Nucl.Phys., Penati & Santambrogio & Zanon,  Renormalization Group Flows in Sigma--Models Coupled to Two--Dimensional  Dynamical Gravity
1996, B384,  Phys.Lett., Evans & Madsen,  Real Forms of Non-abelian Toda Theories and their W-algebras
1997, B490,  Nucl.Phys., Cappelli & Zemba,  Modular Invariant Partition Functions in the Quantum Hall Effect
1996, B387,  Phys.Lett., Aspinwall & Gross,  The SO(32) Heterotic String on a K3 Surface
1997, A12,  Mod.Phys.Lett., Gorsky,  Peierls model and vacuum structure in N=2 supersymmetric gauge theories
1996, B479,  Nucl.Phys., Banks & Dine,  Couplings and Scales in Strongly Coupled Heterotic String Theory
1997, A12,  Int.J.Mod.Phys., Semenoff & Szabo,  Fermionic Matrix Models
1997, A30,  J.Phys., Ramos & Martins,  Algebraic Bethe ansatz approach for the one-dimensional Hubbard model
1996, B387,  Phys.Lett., Chaichian & Chen & Zhu,  Gauss Law Constraints in Chern-Simons Theory From BRST Quantization
1996, B475,  Nucl.Phys., Korotkin & Nicolai,  Isomonodromic Quantization of Dimensionally Reduced Gravity
1996, B388,  Phys.Lett., Forger & Ovrut & Theisen & Waldram,  Higher-Derivative Gravity in String Theory
1996, B384,  Phys.Lett., Green & Lambert & Papadopoulos & Townsend,  Dyonic p-branes from self-dual (p+1)-branes
1996, B475,  Nucl.Phys., Sen,  F-theory and Orientifolds
1997, A12,  Int.J.Mod.Phys., Flohr,  On Fusion Rules in Logarithmic Conformal Field Theories
1996, A11,  Mod.Phys.Lett., Flohr,  Fusion & Tensoring of Conformal Field Theory and Composite Fermion  Picture of Fractional Quantum Hall Effect
1997, B484,  Nucl.Phys., Fursaev & Miele,  Cones, Spins and Heat Kernels
1997, B483,  Nucl.Phys., Berglund & Katz & Klemm & Mayr,  New Higgs Transitions between Dual N=2 String Models
1997, A12,  Int.J.Mod.Phys., Isakov & Viefers,  Model of statistically coupled chiral fields on the circle
1996, B385,  Phys.Lett., Delduc & Maggiore & Piguet & Wolf,  Note on Constrained Cohomology
1996, B476,  Nucl.Phys., Banados & Garay & Henneaux,  The dynamical structure of higher dimensional Chern-Simons theory
1997, C74,  Z.Phys., Lorek & Ruffing & Wess,  A q-Deformation of the Harmonic Oscillator
1997, N1,  Theor.Math.Phys., Smirnov,  Four-dimensional integration by parts with differential renormalization  as a method of evaluation of Feynman diagrams
1996, B386,  Phys.Lett., Goldhaber & Parwani & Singh,  On the Fractional Electric Charge of a Magnetic Monopole at Nonzero  Temperature
1996, D54,  Phys.Rev., Brodbeck & Heusler & Straumann & Volkov,  Stability Analysis of New Solutions of the EYM system with Cosmological  Constant
1997, B391,  Phys.Lett., Bowick & Catterall & Thorleifsson,  Minimal Dynamical Triangulations of Random Surfaces
1996, B384,  Phys.Lett., Berenstein & Corrado & Fischler & Paban & Rozali,  Virtual D-Branes
1997, B395,  Phys.Lett., Gamboa & Rivelles & Zanelli,  Global Anomalies and Anyons in 1+1 Dimensions
1996, D54,  Phys.Rev., Easther & Maeda,  One-Loop Superstring Cosmology and the Non-Singular Universe
1996, A11,  Mod.Phys.Lett., Balasubramanian & Klebanov,  Some Aspects of Massive World-Brane Dynamics
1996, A11,  Mod.Phys.Lett., Hisakado & Wadati,  Matrix Models of Two-dimensional Gravity and Discrete Toda Theory
1996, B385,  Phys.Lett., Arthur,  Interaction energy of Chern-Simons vortices in the gauged O(3) sigma  model
1996, B388,  Phys.Lett., Pierro & Konishi,  Mass, Confinement and CP Invariance in the Seiberg-Witten Model"
1996, B384,  Phys.Lett., Casas,  The Generalized Dilaton Supersymmetry Breaking Scenario
1996, B475,  Nucl.Phys., Berkooz & Leigh & Polchinski & Schwarz & Seiberg & Witten,  Anomalies, Dualities, and Topology of D=6 N=1 Superstring Vacua
1996, A11,  Mod.Phys.Lett., Lyakhovich & Sharapov & Shekhter,  D=6 massive spinning particle
1996, A11,  Mod. Phys. Lett., Slobodenyuk,  On the Evolution Operator Kernel for the Coulomb and Coulomb--Like  Potentials
1996, B381,  Phys.Lett., Sutcliffe,  Seiberg-Witten theory, monopole spectral curves and affine Toda solitons
1996, B387,  Phys.Lett., Bonora & Colatto & Constantinidis,  Toda lattice field theories, discrete W algebras, Toda lattice  hierarchies and quantum groups
1996, A11,  Mod.Phys.Lett., Geyer & Granda & Odintsov,  Nambu-Jona-Lasinio Model in Curved Spacetime with Magnetic Field
1997, C74,  Z.Phys., Filho,  Covariant background field calculation of ultraviolet counterterms
1996, B387,  Phys.Lett., Banks & Douglas & Seiberg,  Probing F-theory With Branes
1996, B481,  Nucl.Phys., Bershadsky & Intriligator & Kachru & Morrison & Sadov & Vafa,  Geometric Singularities and Enhanced Gauge Symmetries
1997, B489,  Nucl.Phys., Ganor,  Six-Dimensional Tensionless Strings In The Large N Limit
1997, A12,  Int.J.Mod.Phys., Huang,  A Hidden Connection between Lax Descriptions and Superextensions of KdV  Hierarchy
1997, B485,  Nucl.Phys., Pronin & Stepanyantz,  One-loop counterterms for the dimensional regularization of arbitrary  Lagrangians
1997, B484,  Nucl.Phys., Cangemi,  Self-dual Yang--Mills Theory and One-Loop Maximally Helicity Violating  Multi-Gluon Amplitudes
1997, A12,  Int.J.Mod.Phys., Amelino-Camelia & Ellis & Mavromatos & Nanopoulos,  Distance Measurement and Wave Dispersion in a Liouville-String Approach  to Quantum Gravity
1996, B383,  Phys.Lett., Klimcik & Severa,  Non-Abelian Momentum-Winding Exchange
1997, D55,  Phys.Rev., Fucito & Travaglini,  Instanton Calculus and Nonperturbative Relations in N=2 Supersymmetric  Gauge Theories
1996, B383,  Phys.Lett., Behrndt & Bergshoeff,  A Note on Intersecting $D$-branes and Black Hole Entropy
1997, B487,  Nucl.Phys., Moriconi & Schoutens,  Reflection Matrices for Integrable $N=1$ Supersymmetric Theories
1996, B481,  Nucl.Phys., Distler & Greene & Morrison,  Resolving Singularities in (0,2) Models
1997, D55,  Phys.Rev., Horowitz & Marolf,  Counting States of Black Strings with Traveling Waves
1997, A12,  Int.J.Mod.Phys., Eguchi & Hori & Xiong,  Gravitational Quantum Cohomology
1996, B478,  Nucl.Phys., Banerjee & Mukherjee,  Spin of Chern-Simons vortices
1996, B386,  Phys.Lett., Sedrakyan,  The measure in three dimensional Nambu-Goto string theory
1996, D54,  Phys.Rev., Lee & Weinberg & Yi,  Massive and massless monopoles with nonabelian magnetic charges
1997, D55,  Phys.Rev., Jones & Perry,  Analytic Treatment of Positronium Spin Splittings in Light-Front QED
1996, B478,  Nucl.Phys., Brodie,  Duality in Supersymmetric SU($N_c$) Gauge Theory with Two Adjoint Chiral  Superfields
1996, A212,  Phys.Lett., Plebanski & Przanowski,  The Lagrangian of a Self-Dual Gravitational Field as a Limit of the SDYM  Lagrangian
1996, B388,  Phys.Lett., Dhar & Mandal & Wadia,  Absorption vs Decay of Black holes in string theory and T-symmetry
1996, D54,  Phys.Rev., Hambli,  More on Four-Dimensional Extremal Black Holes
1996, D54,  Phys.Rev., Garcia-Bellido & Linde & Wands,  Density Perturbations and Black Hole Formation in Hybrid Inflation
1996, A223,  Phys.Lett., Cahill & Klinger,  Pregeometric modelling of the spacetime phenomenology
1996, B385,  Phys.Lett., Kastrup,  On the Quantum Levels of Isolated Spherically Symmetric Gravitational  Systems
1998, A13,  Int.J.Mod.Phys., Sorkin & Surya,  An Analysis of the Representations of the Mapping Class Group of a  Multi-Geon Three-Manifold
1997, B112,  Nuovo Cim., Toller,  Quantum Reference Frames and Quantum Transformations
1996, D54,  Phys.Rev., Louko & Makela,  Area spectrum of the Schwarzschild black hole
1997, D55,  Phys.Rev., Buonanno & Maggiore & Ungarelli,  Spectrum of relic gravitational waves in string cosmology
1996, B381,  Phys.Lett., Xue,  A Lattice Chiral Theory with Multifermion Couplings
1997, B486,  Nucl.Phys., Xue,  A possible scaling region of chiral fermions on a lattice
1996, B384,  Phys.Lett., Bornyakov & Schierholz,  Instantons or Monopoles? Dyons
1996, B384,  Phys.Lett., Bialas & Burda,  Phase transition in fluctuating branched geometry
1997, D55,  Phys.Rev., Antunes & Bettencourt,  Non-Equilibrium Dynamics of a Quench-Induced Phase Transition and  Topological Defect Formation
1996, B477,  Nucl.Phys., Chang & Coriano & Faraggi,  Stable Superstring Relics
1996, D54,  Phys.Rev., Davydychev & Osland & Tarasov,  Three-gluon vertex in arbitrary gauge and dimension
1997, D55,  Phys.Rev., Lopez & Nanopoulos,  Leptophobic $Z'$ in stringy flipped SU(5)
1996, G22,  J.Phys., Matsuda,  Tadpole Method and Supersymmetric O(N) Sigma Model
1996, G22,  J.Phys., Matsuda,  Large N Expansion and Softly Broken Supersymmetry
1996, D54,  Phys.Rev., Matsuda,  Alternative Approach to Gaugino Condensation
1997, C74,  Z.Phys., Fleischer & Smirnov & Tarasov,  Calculation of Feynman diagrams with zero mass threshold from their  small momentum expansion
1997, A12,  Mod.Phys.Lett., Abe,  The Partition Function in the Four-Dimensional Schwarz-type Topological  Half-Flat Two-Form Gravity
1996, B482,  Nucl.Phys., Ahn & Koo,  Supersymmetric Sine-Gordon Model and the Eight-Vertex Free Fermion model  with Boundary
1996, B482,  Nucl.Phys., Akemann,  Higher genus correlators for the hermitian matrix model with multiple  cuts
1997, A12,  Int.J.Mod.Phys., Marino & Takakura,  Massive Quantum Vortex Excitations in a Pure Gauge Abelian Theory in  2+1D
1997, A30,  J.Phys., Govaerts,  Projection Operator Approach to Constrained Systems
1996, B388,  Phys.Lett., Sadov,  Generalized Green-Schwarz mechanism in F theory
1996, B388,  Phys.Lett., Jatkar & Rama,  F-theory from Dirichlet 3-branes
1996, B473,  Nucl.Phys., Konno,  Dynamical Correlation Functions and Finite-size Scaling in  Ruijsenaars-Schneider Model
